user_id,name,team_name,organisation,known_for,individual_url,include
1258257,Tim Gummer,Gummer's Stunners,bit in that,,https://twitter.com/bitinthat,FALSE
1424151,Michael Thomas,Jayden Tall,bit in that,,https://twitter.com/mthommo14,FALSE
1006405,Tom Marshall,Wolf of Watkins St,bit in that,,https://twitter.com/Tommeeehhh,FALSE
2813788,Bit In That,Bit In That,bit in that,,https://twitter.com/bitinthat,FALSE
1922154,Matt Mottram,Mottram's Marvels,,2022 Winner,https://twitter.com/mattmottram,TRUE
1100050,Roy,destROY,The Traders,,https://twitter.com/RoyDT,TRUE
1000010,Warney,Warne Dawgs,The Traders,,https://twitter.com/WarnieDT,TRUE
1100064,Calvin,Calvinator,The Traders,,https://twitter.com/CalvinDT,TRUE
2,The Traders,The Traders,The Traders,,,FALSE
2537626,Dejan,Can't go Serong,The Traders,Some guy who works behind the scenes Warney describes as a nerd,https://twitter.com/DejanKalinic,FALSE
1111760,Fantasy Freako,Fantasy Freako,Chamption Data,Fantasy Freako,https://twitter.com/FantasyFreako,TRUE
1134396,DC,DC Caterpillars,Hat Chat,,https://twitter.com/DCCaterpillars,TRUE
1808282,Nathan,The Obermullets,Hat Chat,,https://twitter.com/Obermullet,TRUE
1385283,Jake,Dunkley's Donuts,Hat Chat,,https://twitter.com/SanchFantasy,TRUE
1449397,Sanch,Sanch's Snags,Hat Chat,,https://twitter.com/DunkleysDonuts,TRUE
2650072,Mrs DC,Mrs DC's Butterflies,Hat Chat,,https://twitter.com/MRS___DC,TRUE
2125478,Mitch,Michmond,Ball Boys,,https://twitter.com/ballboysfantasy,TRUE
1532324,Luke,Mike 0xshort,Ball Boys,,https://twitter.com/lukerogo17,TRUE
1373578,Jeppa,Jeppas Juniors,Plus Six Podcast,,https://twitter.com/JeppaDT,TRUE
1122693,Guesty,Guesty's Gerbils,AFL Fantasy Fanatics,,https://twitter.com/timguestau,TRUE
2255419,Bails,Bails Nails,AFL Fantasy Fanatics,,https://twitter.com/BailsDT,TRUE
1857234,MiniMonk,MiniMonk,Coaches Panel,,https://twitter.com/MiniMonk10,TRUE
1250074,Dossy,Dosreira's Magic,PodPod,,https://twitter.com/HKDos,TRUE
2321224,Holmesy,Holmesyheroes,PodPod,,https://twitter.com/Holmesyheroes,TRUE
1150154,Harmey,Hirdy's Heroes,PodPod,,https://twitter.com/jonharmey,TRUE
1570030,Lewy,Say Sheez,PodPod,,https://twitter.com/LewyAF,TRUE
1111472,The Statesman,Statesman,PodPod,,https://twitter.com/Statesman33,TRUE
1961516,Alex Witherdon,Withingtons warriors,,AFL Fantasy Ambassador,,FALSE
2774078,Luke Jackson,Action Jacksons,,AFL Fantasy Ambassador,,FALSE
1281872,Leatherheads Footy,Leatherheads Footy,,Leatherheads Footy (inactive),https://www.youtube.com/@leatherheadsfooty,FALSE
1557670,Marcus Rose,Sportsbet Official,,"Is this actually their ""official"" page",,FALSE
1759244,Jaiden Popowski,JPop's Jackpots,Stats By Jaiden,,https://twitter.com/jaiden_popowski,TRUE
1199356,DT Lemon,Gorringes and Lemmens,DT Talk,,https://twitter.com/Lemon_DT,TRUE
2238095,Nug,Junktime Janitors,Breakeven Podcast,,https://twitter.com/janitorstime,TRUE
1519911,Millar,Haircut 2's NHFAHCFC-2,Breakeven Podcast,,https://twitter.com/time_millar,TRUE
,Doe,Matt Lachlan,Breakeven Podcast,,https://twitter.com/doee48,FALSE
1564098,Cara,Hot & Gawny,,AFLFantasyPerth,,FALSE
2241906,Bindy,Bindi's Blues,,Appears on podcasts recently,https://twitter.com/DT_Bindi,TRUE
1519605,Levi,Winter is Cumming,,A guy in the community who has done well for a few seasons,,TRUE
1209447,Keebs,The Super Subs,Cousins AFL Fantasy,,https://twitter.com/thecousinspod,TRUE
1454648,Jaydos,No Fyfe No Life Know Fyfe Know Life,Cousins AFL Fantasy,,https://twitter.com/thecousinspod,TRUE
1475876,Benji's Bashers,Benji's Bashers,,Seems uniquely skilled at high value teams,,TRUE
1530082,Dyl Smith,MBP,Fantasy People,,,TRUE
1978990,Drama Llama,The Angry Drama Llamas,,,https://twitter.com/Drama_Llamas_DT,TRUE
1109522,Vams,Fantasynut,,,https://twitter.com/mryellowtbuk,TRUE
1001077,Jackson Davey,JD - FTTV,Fantasy Take TV,,https://twitter.com/jacksondavey,TRUE
1564642,Jords,jords reign of terror,Fantasy Take TV,,https://twitter.com/jordsFTTV,TRUE
2369448,Eno,eno FTTV,Fantasy Take TV,,https://twitter.com/enoFTTV,TRUE
1114294,Fry,Large Frys and Coke,Sports By Fry,,https://twitter.com/sportsbyfry,TRUE
2318494,Ky Broome,Brooomey,Ky Broome Sports Fantasy,,https://twitter.com/KyBroome2,TRUE
2673766,Darren Carr,Wise Ocean PODs,Wise Ocean PODs,,https://twitter.com/WiseOceanPODs,TRUE
2070408,The Wongster,Purple Cow,Moreira's Magic,,https://twitter.com/theWongster,TRUE
1120564,Hazy,Hazy's Heroes,,,https://twitter.com/nhayes43,TRUE
1109415,Rids,Ridley United,Coaches Panel,,https://twitter.com/RidsCp,TRUE
1000056,MJ,Crouches Treloar,Coaches Panel,,https://twitter.com/mjwant,TRUE
1239172,Moreiras Magic,Moreiras Magic,Moreira's Magic,,https://twitter.com/MoreirasMagic,FALSE
